"mid","sex","level"
"2061","-1","6"
"2062","1","6"
"2066","-1","5"
"2082","-1","4"
"2084","-1","5"
"2093","-1","5"
"2105","-1","5"
"2106","1","5"
"2108","-1","5"
"2114","-1","5"
"2123","-1","5"
"2125","-1","4"
"2128","-1","5"
"2129","-1","3"
"2133","1","6"
"2137","1","3"
"2138","-1","5"
"2141","-1","5"
"2143","-1","6"
"2146","-1","6"
"2148","-1","5"
"2157","1","6"
"2162","-1","6"
"2175","-1","2"
"2192","-1","5"
"2209","-1","5"
"2210","1","5"
"2219","0","5"
"2220","-1","5"
"2221","-1","5"
"2222","-1","5"
"2234","-1","5"
"2238","-1","3"
"2241","-1","5"
"2242","0","5"
"2244","1","4"
"2254","-1","5"
"2256","1","6"
"2262","-1","5"
"2268","-1","5"
"2271","-1","5"
"2275","-1","5"
"2276","1","5"
"2282","1","3"
"2304","-1","5"
"2307","-1","6"
"2309","-1","5"
"2311","1","5"
"2317","-1","5"
"2322","-1","6"
"2324","-1","6"
"2327","-1","5"
"2330","-1","5"
"2331","-1","6"
"2332","-1","5"
"2334","-1","3"
"2339","-1","5"
"2342","-1","5"
"2344","-1","5"
"2349","-1","5"
"2355","-1","5"
"2358","-1","5"
"2362","-1","5"
"2372","-1","6"
"2378","-1","5"
"2385","0","5"
"2389","1","5"
"2391","-1","5"
"2397","-1","5"
"2412","-1","5"
"2419","1","5"
"2437","-1","5"
"2440","-1","5"
"2446","-1","6"
"2450","-1","6"
"2453","-1","5"
"2463","-1","4"
"2474","-1","5"
"2475","-1","5"
"2486","0","5"
"2487","-1","5"
"2491","0","6"
"2492","-1","6"
"2498","0","3"
"2512","-1","5"
"2519","-1","4"
"2524","-1","5"
"2525","-1","5"
"2526","-1","6"
"2530","-1","5"
"2536","-1","5"
"2548","-1","5"
"2551","1","5"
"2552","-1","5"
"2554","-1","5"
"2556","-1","5"
"2561","-1","3"
"2564","-1","5"
"2570","-1","4"
"2578","-1","5"
"2585","-1","5"
"2592","-1","5"
"2608","-1","5"
"2611","-1","5"
"2615","-1","5"
"2623","-1","5"
"2625","-1","5"
"2626","-1","5"
"2629","-1","4"
"2635","-1","5"
"2637","1","5"
"2639","-1","5"
"2646","0","4"
"2649","-1","5"
"2650","-1","6"
"2651","-1","5"
"2656","-1","4"
"2677","-1","5"
"2680","-1","5"
"2692","-1","5"
"2698","-1","5"
"2699","-1","5"
"2701","-1","6"
"2705","-1","6"
"2718","-1","6"
"2719","-1","5"
"2721","-1","5"
"2725","1","4"
"2727","1","5"
"2737","-1","5"
"2738","-1","5"
"2744","-1","5"
"2745","-1","5"
"2746","-1","5"
"2751","-1","5"
"2759","1","5"
"2762","-1","6"
"2770","-1","5"
"2776","-1","6"
"2778","1","5"
"2780","-1","5"
"2786","-1","6"
"2793","1","6"
"2794","-1","5"
"2800","1","5"
"2802","-1","6"
"2803","-1","6"
"2811","-1","5"
"2816","-1","5"
"2818","-1","5"
"2822","-1","6"
"2823","-1","5"
"2829","-1","5"
"2833","-1","3"
"2840","-1","6"
"2847","-1","5"
"2853","0","5"
"2854","1","5"
"2861","-1","4"
"2864","-1","5"
"2868","-1","5"
"2870","-1","6"
"2872","1","6"
"2883","-1","6"
"2895","-1","6"
"2901","-1","5"
"2903","-1","5"
"2918","-1","6"
"2929","1","6"
"2933","-1","5"
"2936","-1","6"
"2937","-1","5"
"2945","-1","5"
"2951","-1","5"
"2959","-1","5"
"2967","-1","6"
"2976","-1","5"
"2978","-1","5"
"2982","-1","5"
"2988","-1","6"
"2997","-1","5"
"2998","1","5"
"3002","-1","5"
"3004","-1","5"
"3006","-1","6"
"3013","1","5"
"3014","-1","3"
"3028","-1","5"
"3048","-1","5"
"3050","-1","5"
"3051","-1","5"
"3056","-1","5"
"3060","1","6"
"3061","-1","6"
"3063","-1","6"
"3065","-1","6"
"3066","-1","5"
"3068","-1","5"
"3072","-1","4"
"3074","1","6"
"3076","-1","5"
"3079","1","5"
"3081","-1","5"
"3086","1","6"
"3100","-1","5"
"3109","1","5"
"3112","-1","5"
"3114","1","5"
"3116","-1","6"
"3118","-1","6"
"3124","-1","4"
"3125","-1","5"
"3136","-1","5"
"3138","-1","5"
"3143","-1","6"
"3145","-1","4"
"3146","-1","5"
"3148","-1","5"
"3150","-1","3"
"3153","-1","5"
"3154","-1","5"
"3157","1","6"
"3160","-1","5"
"3167","0","6"
"3168","-1","6"
"3177","-1","5"
"3187","-1","6"
"3191","-1","3"
"3201","-1","6"
"3210","-1","5"
"3213","-1","6"
"3215","-1","5"
"3218","-1","5"
"3224","-1","4"
"3225","-1","5"
"3227","-1","6"
"3231","-1","5"
"3243","-1","5"
"3247","-1","5"
"3249","-1","5"
"3250","-1","5"
"3251","-1","6"
"3254","-1","5"
"3262","-1","5"
"3275","-1","6"
"3295","0","6"
"3297","-1","5"
"3301","-1","5"
"3303","-1","5"
"3308","0","5"
"3315","-1","5"
"3320","-1","5"
"3330","-1","6"
"3351","1","6"
"3358","-1","4"
"3359","1","4"
"3366","1","5"
"3369","0","5"
"3370","-1","5"
"3371","-1","5"
"3373","-1","4"
"3374","-1","5"
"3376","-1","5"
"3379","-1","5"
"3382","-1","5"
"3386","0","5"
"3390","-1","6"
"3392","-1","6"
"3394","-1","5"
"3398","-1","6"
"3404","-1","5"
"3410","1","6"
"3420","1","2"
"3421","-1","5"
"3422","-1","6"
"3423","-1","5"
"3427","-1","3"
"3429","-1","5"
"3436","0","5"
"3449","-1","5"
"3450","1","6"
"3453","-1","5"
"3473","-1","5"
"3476","-1","5"
"3487","-1","5"
"3493","-1","6"
"3495","-1","5"
"3502","-1","5"
"3508","-1","6"
"3511","-1","5"
"3514","-1","6"
"3517","1","6"
"3523","-1","5"
"3524","-1","6"
"3529","-1","5"
"3544","-1","6"
"3549","-1","5"
"3552","-1","6"
"3557","-1","5"
"3571","-1","4"
"3576","1","4"
"3578","1","3"
"3587","-1","5"
"3590","-1","4"
"3594","-1","6"
"3596","-1","6"
"3605","-1","5"
"3611","-1","5"
"3615","-1","5"
"3635","-1","5"
"3639","-1","4"
"3644","-1","5"
"3654","1","4"
"3656","0","6"
"3657","-1","5"
"3661","-1","6"
"3662","-1","5"
"3674","-1","5"
"3677","-1","5"
"3680","-1","4"
"3688","-1","6"
"3691","1","5"
"3698","-1","6"
"3700","1","6"
"3705","0","5"
"3717","-1","5"
"3721","-1","3"
"3731","-1","6"
"3738","-1","5"
"3739","0","5"
"3741","-1","5"
"3746","-1","5"
"3747","-1","6"
"3755","-1","5"
"3756","-1","5"
"3762","-1","5"
"3766","-1","5"
"3769","-1","5"
"3777","1","5"
"3779","-1","6"
"3786","-1","5"
"3796","-1","5"
"3800","1","6"
"3806","-1","5"
"3812","-1","5"
"3813","-1","5"
"3821","-1","5"
"3822","-1","5"
"3832","-1","5"
"3837","-1","6"
"3838","-1","4"
"3843","-1","6"
"3846","1","5"
"3854","-1","5"
"3859","-1","5"
"3865","-1","6"
"3867","-1","5"
"3876","1","6"
"3877","-1","5"
"3882","-1","5"
"3892","-1","5"
"3907","-1","5"
"3910","-1","5"
"3917","-1","5"
"3925","-1","5"
"3932","-1","5"
"3942","-1","5"
"3956","-1","6"
"3958","-1","5"
"3966","-1","6"
"3984","-1","6"
"3987","-1","3"
"3990","-1","5"
"3997","1","5"
"3999","-1","6"
"4001","-1","5"
"4007","-1","5"
"4009","-1","5"
"4036","-1","5"
"4045","-1","6"
"4054","-1","6"
"4055","-1","5"
"4058","-1","6"
"4059","1","6"
"4061","-1","5"
"4070","-1","5"
"4073","-1","6"
"4078","-1","5"
"4080","-1","5"
"4102","-1","4"
"4109","-1","6"
"4113","-1","6"
"4117","-1","5"
"4118","-1","5"
"4124","-1","5"
"4128","1","6"
"4129","1","5"
"4141","-1","5"
"4144","-1","4"
"4148","-1","6"
"4153","-1","5"
"4158","-1","5"
"4164","-1","5"
"4165","0","5"
"4166","-1","5"
"4170","-1","5"
"4172","-1","5"
"4188","-1","5"
"4189","-1","5"
"4201","-1","5"
"4208","-1","5"
"4211","1","6"
"4213","-1","5"
"4219","1","6"
"4225","-1","5"
"4229","-1","6"
"4230","-1","5"
"4242","1","5"
"4248","-1","5"
"4269","-1","5"
"4271","-1","4"
"4280","-1","6"
"4291","-1","5"
"4292","-1","5"
"4335","-1","5"
"4346","-1","5"
"4348","-1","2"
"4351","-1","4"
"4354","-1","5"
"4364","-1","6"
"4374","-1","5"
"4385","-1","5"
"4393","1","5"
"4395","0","5"
"4397","-1","5"
"4402","-1","5"
"4405","-1","5"
"4411","-1","5"
"4415","-1","5"
"4426","-1","5"
"4433","-1","5"
"4444","-1","5"
"4447","-1","4"
"4451","-1","6"
"4458","-1","5"
"4466","1","5"
"4476","-1","6"
"4482","-1","5"
"4489","-1","5"
"4496","-1","5"
"4504","-1","6"
"4511","-1","5"
"4522","1","5"
"4523","-1","4"
"4540","-1","6"
"4550","-1","5"
"4551","-1","3"
"4558","-1","4"
"4565","-1","5"
"4591","-1","5"
"4592","-1","5"
"4610","-1","3"
"4612","-1","5"
"4619","-1","5"
"4625","-1","5"
"4633","-1","5"
"4636","-1","6"
"4649","-1","5"
"4656","-1","5"
"4674","-1","5"
"4677","-1","4"
"4685","-1","5"
"4690","-1","5"
"4695","-1","5"
"4699","-1","5"
"4700","-1","5"
"4701","-1","6"
"4708","-1","5"
"4712","-1","5"
"4724","0","5"
"4727","-1","5"
"4734","-1","5"
"4738","0","5"
"4751","-1","4"
"4752","0","5"
"4759","-1","6"
"4767","-1","6"
"4768","-1","5"
"4772","-1","6"
"4781","-1","5"
"4785","-1","5"
"4803","-1","5"
"4860","1","4"
"4862","-1","5"
"4868","-1","5"
"4871","-1","4"
"4881","-1","6"
"4931","0","5"
"4933","-1","5"
"4941","1","6"
"4950","-1","5"
"4960","1","5"
"4967","1","5"
"4971","-1","6"
"4972","-1","5"
"4973","-1","4"
"4985","-1","5"
"4986","1","5"
"4994","-1","5"
"4997","-1","5"
"5008","-1","5"
"5012","-1","5"
"5015","-1","6"
"5023","-1","5"
"5031","-1","6"
"5036","-1","5"
"5037","-1","6"
"5039","-1","4"
"5049","-1","5"
"5052","-1","5"
"5073","0","5"
"5077","-1","5"
"5087","-1","5"
"5088","-1","5"
"5101","-1","5"
"5108","-1","5"
"5111","-1","6"
"5119","-1","5"
"5135","-1","5"
"5138","-1","6"
"5158","-1","5"
"5162","-1","5"
"5182","1","5"
"5186","1","5"
"5192","-1","5"
"5195","-1","6"
"5206","-1","5"
"5210","-1","6"
"5212","-1","5"
"5221","-1","4"
"5225","-1","5"
"5239","-1","5"
"5242","-1","5"
"5244","0","5"
"5256","-1","5"
"5263","-1","5"
"5269","-1","5"
"5270","-1","6"
"5275","-1","4"
"5296","-1","5"
"5307","-1","5"
"5325","-1","6"
"5330","-1","6"
"5332","-1","5"
"5339","-1","5"
"5343","-1","5"
"5353","1","6"
"5356","-1","6"
"5357","1","5"
"5366","-1","5"
"5377","-1","6"
"5384","-1","5"
"5386","-1","5"
"5387","-1","5"
"5392","1","5"
"5394","-1","5"
"5399","-1","4"
"5402","-1","5"
"5404","-1","5"
"5409","-1","5"
"5410","1","5"
"5411","1","5"
"5416","1","6"
"5420","-1","5"
"5422","-1","6"
"5426","-1","6"
"5432","-1","5"
"5435","-1","5"
"5443","-1","5"
"5448","-1","5"
"5476","-1","5"
"5483","-1","5"
"5487","1","5"
"5490","-1","6"
"5497","-1","5"
"5499","-1","5"
"5506","-1","5"
"5513","-1","6"
"5519","1","5"
"5524","-1","4"
"5527","1","5"
"5531","-1","5"
"5541","-1","5"
"5547","-1","6"
"5551","1","6"
"5558","-1","5"
"5562","-1","5"
"5571","-1","4"
"5577","-1","5"
"5579","-1","5"
"5588","-1","6"
"5595","-1","5"
"5605","-1","5"
"5609","-1","4"
"5612","-1","5"
"5622","0","4"
"5624","-1","5"
"5629","-1","5"
"5641","-1","6"
"5656","-1","5"
"5660","-1","4"
"5661","-1","6"
"5662","-1","6"
"5663","-1","5"
"5667","0","5"
"5678","1","5"
"5690","1","5"
"5694","-1","4"
"5697","-1","5"
"5700","-1","5"
"5702","-1","5"
"5705","-1","5"
"5716","-1","6"
"5736","-1","5"
"5753","-1","5"
"5754","-1","5"
"5760","1","5"
"5769","-1","5"
"5771","-1","2"
"5772","-1","4"
"5781","-1","6"
"5782","-1","5"
"5787","-1","5"
"5800","-1","5"
"5805","1","5"
"5821","-1","4"
"5829","-1","4"
"5832","-1","5"
"5836","-1","5"
"5849","-1","5"
"5869","1","5"
"5872","-1","5"
"5873","-1","5"
"5879","-1","6"
"5896","-1","6"
"5906","-1","5"
"5909","-1","6"
"5911","-1","5"
"5918","1","5"
"5919","-1","6"
"5921","1","6"
"5924","-1","5"
"5926","-1","5"
"5927","-1","5"
"5933","-1","5"
"5946","1","5"
"5952","-1","6"
"5953","-1","5"
"5959","1","6"
"5979","-1","5"
"5992","-1","5"
"5995","-1","5"
"5997","-1","6"
"6000","-1","5"
"6009","1","5"
"6013","-1","5"
"6031","-1","6"
"6033","-1","5"
"6035","-1","5"
"6038","-1","5"
"6039","-1","6"
"6044","-1","5"
"6047","-1","5"
"6068","-1","5"
"6071","-1","5"
"6077","-1","5"
"6080","-1","4"
"6094","-1","4"
"6105","1","5"
"6106","-1","6"
"6108","-1","5"
"6132","-1","5"
"6134","0","6"
"6150","-1","5"
"6152","-1","6"
"6154","-1","5"
"6155","-1","4"
"6161","-1","4"
"6182","-1","5"
"6186","-1","2"
"6196","1","6"
"6204","-1","5"
"6208","-1","5"
"6216","-1","5"
"6220","0","5"
"6221","1","5"
"6227","-1","6"
"6229","-1","6"
"6232","-1","5"
"6236","-1","5"
"6239","-1","6"
"6245","-1","5"
"6246","-1","6"
"6248","1","6"
"6255","-1","5"
"6262","-1","5"
"6270","-1","6"
"6279","-1","5"
"6280","-1","5"
"6288","-1","5"
"6292","-1","5"
"6295","1","6"
"6297","-1","6"
"6300","-1","5"
"6301","-1","5"
"6303","1","3"
"6304","-1","6"
"6316","1","6"
"6318","-1","5"
"6320","-1","5"
"6324","-1","5"
"6327","-1","6"
"6329","-1","5"
"6333","-1","5"
"6338","-1","6"
"6341","-1","5"
"6344","-1","5"
"6346","-1","6"
"6347","0","6"
"6359","-1","5"
"6367","-1","5"
"6372","-1","5"
"6375","-1","5"
"6382","-1","5"
"6387","1","5"
"6392","-1","5"
"6398","-1","5"
"6399","-1","6"
"6413","-1","6"
"6422","-1","6"
"6423","-1","5"
"6429","-1","5"
"6445","-1","5"
"6450","-1","5"
"6458","1","5"
"6463","-1","5"
"6464","-1","5"
"6466","-1","4"
"6469","-1","5"
"6485","1","6"
"6488","-1","5"
"6501","0","5"
"6502","-1","6"
"6504","1","6"
"6518","-1","5"
"6519","-1","4"
"6524","-1","5"
"6529","-1","5"
"6530","-1","5"
"6540","-1","6"
"6546","-1","5"
"6551","-1","5"
"6554","-1","6"
"6568","-1","5"
"6579","-1","5"
"6583","-1","5"
"6602","-1","5"
"6608","1","5"
"6610","-1","6"
"6615","1","5"
"6618","-1","5"
"6620","-1","5"
"6623","-1","5"
"6624","-1","5"
"6628","-1","5"
"6631","-1","4"
"6632","0","5"
"6634","-1","5"
"6635","-1","5"
"6649","-1","6"
"6658","-1","5"
"6662","-1","5"
"6667","-1","5"
"6672","-1","5"
"6688","1","6"
"6696","-1","6"
"6697","-1","6"
"6699","-1","6"
"6702","1","6"
"6705","1","5"
"6718","-1","5"
"6733","-1","5"
"6740","-1","5"
"6742","-1","5"
"6745","-1","5"
"6749","-1","5"
"6750","-1","5"
"6751","0","6"
"6752","-1","5"
"6754","-1","6"
"6760","-1","5"
"6777","-1","5"
"6781","-1","5"
"6782","-1","5"
"6810","-1","6"
"6811","-1","5"
"6825","-1","4"
"6835","-1","5"
"6836","-1","5"
"6866","-1","5"
"6897","-1","5"
"6898","-1","5"
"6901","-1","6"
"6927","-1","5"
"6932","-1","5"
"6938","-1","5"
"6939","-1","5"
"6946","-1","5"
"6949","-1","3"
"6957","-1","4"
"6963","-1","6"
"6965","-1","5"
"6980","-1","5"
"6994","0","6"
"7007","-1","6"
"7008","-1","6"
"7010","-1","5"
"7011","-1","5"
"7013","-1","5"
"7016","-1","5"
"7027","-1","6"
"7035","-1","5"
"7037","1","6"
"7044","-1","5"
"7051","-1","6"
"7065","-1","5"
"7069","-1","6"
"7072","1","5"
"7073","1","6"
"7077","-1","5"
"7083","1","5"
"7087","-1","6"
"7107","-1","5"
"7111","-1","5"
"7134","-1","5"
"7147","-1","6"
"7149","-1","5"
"7164","-1","4"
"7165","-1","5"
"7167","-1","6"
"7179","-1","5"
"7186","-1","5"
"7190","-1","5"
"7195","-1","6"
"7198","-1","5"
"7202","-1","4"
"7206","-1","5"
"7208","-1","5"
"7222","-1","5"
"7238","-1","5"
"7242","0","5"
"7253","-1","5"
"7262","1","6"
"7265","-1","5"
"7268","-1","3"
"7269","-1","5"
"7273","-1","6"
"7289","-1","5"
"7305","-1","5"
"7307","-1","5"
"7308","-1","5"
"7310","0","5"
"7316","-1","5"
"7326","-1","5"
"7327","-1","6"
"7328","-1","5"
"7329","1","6"
"7330","-1","5"
"7332","-1","6"
"7335","-1","5"
"7337","-1","5"
"7340","-1","5"
"7349","1","6"
"7372","-1","5"
"7375","-1","6"
"7387","-1","4"
"7390","-1","5"
"7402","-1","6"
"7425","-1","6"
"7429","-1","5"
"7431","1","5"
"7442","-1","5"
"7444","-1","5"
"7447","-1","5"
"7450","1","5"
"7451","-1","4"
"7452","-1","6"
"7460","-1","5"
"7466","-1","6"
"7476","-1","5"
"7488","-1","5"
"7492","-1","5"
"7505","-1","5"
"7516","-1","5"
"7519","-1","5"
"7521","-1","5"
"7522","-1","4"
"7532","1","5"
"7533","-1","5"
"7543","-1","5"
"7548","-1","6"
"7553","-1","5"
"7557","-1","5"
"7583","-1","5"
"7584","-1","3"
"7590","-1","5"
"7592","1","5"
"7595","-1","5"
"7596","1","5"
"7606","-1","5"
"7609","-1","5"
"7614","-1","5"
"7617","-1","6"
"7618","-1","6"
"7621","-1","5"
"7624","-1","5"
"7633","-1","5"
"7639","-1","6"
"7640","-1","5"
"7646","-1","5"
"7648","-1","5"
"7649","-1","6"
"7656","-1","5"
"7657","1","5"
"7659","-1","4"
"7660","-1","6"
"7662","-1","5"
"7669","-1","5"
"7673","-1","5"
"7679","1","5"
"7684","-1","5"
"7690","-1","6"
"7697","-1","6"
"7701","0","4"
"7702","1","5"
"7708","-1","5"
"7712","-1","6"
"7714","-1","6"
"7715","0","5"
"7721","-1","5"
"7728","-1","5"
"7731","-1","5"
"7734","-1","5"
"7736","-1","6"
"7738","-1","5"
"7777","-1","5"
"7782","-1","5"
"7784","-1","6"
"7799","-1","6"
"7800","-1","6"
"7821","-1","5"
"7828","-1","5"
"7833","-1","5"
"7835","-1","6"
"7837","-1","5"
"7838","-1","5"
"7839","-1","5"
"7849","-1","5"
"7860","-1","6"
"7863","-1","5"
"7879","-1","5"
"7884","-1","4"
"7885","1","6"
"7889","-1","5"
"7892","-1","5"
"7894","-1","5"
"7901","-1","5"
"7904","-1","6"
"7905","1","5"
"7917","-1","5"
"7922","-1","5"
"7931","-1","5"
"7935","1","6"
"7940","-1","5"
"7957","-1","5"
"7959","-1","6"
"7965","-1","6"
"7971","-1","5"
"7972","-1","5"
"7986","-1","5"
"7996","-1","6"
"8003","-1","6"
"8014","-1","4"
"8015","-1","6"
"8027","-1","5"
"8030","-1","5"
"8033","-1","5"
"8038","-1","5"
"8041","-1","5"
"8050","-1","6"
"8057","-1","6"
"8058","-1","5"
"8062","-1","5"
"8069","-1","6"
"8072","-1","6"
"8075","-1","5"
"8082","1","5"
"8096","-1","4"
"8098","-1","5"
"8106","-1","5"
"8119","-1","5"
"8120","-1","6"
"8122","1","6"
"8123","-1","5"
"8125","-1","5"
"8126","-1","5"
"8136","-1","5"
"8151","-1","5"
"8161","1","5"
"8164","-1","5"
"8168","-1","5"
"8178","-1","6"
"8180","-1","5"
"8192","-1","6"
"8198","-1","5"
"8211","1","6"
"8220","-1","5"
"8259","-1","3"
"8260","-1","4"
"8267","-1","5"
"8272","1","6"
"8276","-1","6"
"8277","-1","5"
"8283","1","5"
"8291","-1","3"
"8292","-1","5"
"8303","-1","5"
"8316","-1","5"
"8332","-1","5"
"8360","-1","4"
"8372","-1","6"
"8388","-1","4"
"8402","-1","5"
"8405","-1","5"
"8416","-1","6"
"8434","-1","5"
"8437","-1","6"
"8442","-1","5"
"8449","-1","5"
"8456","-1","5"
"8463","-1","5"
"8464","-1","5"
"8466","-1","5"
"8469","0","5"
"8471","-1","5"
"8476","-1","5"
"8478","0","5"
"8489","-1","5"
"8491","-1","5"
